02/09/2026 19:47:33 | Campeão: Jogador 2 | 01:30
04/08/2026 09:08:58 | Campeão: Jogador 1 | 00:42
23/06/2026 17:49:28 | Campeão: Jogador 1 | 01:06
23/06/2026 13:42:41 | Campeão: Jogador 2 | 01:54
23/06/2026 08:19:44 | Campeão: Jogador 1 | 00:44
23/06/2026 08:12:55 | Campeão: Jogador 2 | 00:49
23/06/2026 08:11:42 | Campeão: Jogador 2 | 01:02
21/06/2026 14:37:44 | Campeão: Jogador 2 | 00:37
20/06/2026 16:26:51 | Campeão: Jogador 1 | 00:53
20/06/2026 16:25:52 | Campeão: Jogador 1 | 01:34
20/06/2026 12:57:51 | Campeão: Jogador 2 | 00:21
20/06/2026 12:21:45 | Campeão: Jogador 1 | 00:44
20/06/2026 11:59:33 | Campeão: Jogador 2 | 00:29
20/06/2026 11:08:49 | Campeão: Jogador 2 | 00:52
20/06/2026 11:06:29 | Campeão: Jogador 1 | 01:07
20/06/2026 09:34:12 | Campeão: Jogador 2 | 00:30
20/06/2026 01:40:31 | Campeão: Jogador 2 | 00:14
20/06/2026 01:12:06 | Campeão: Jogador 2 | 00:08
20/06/2026 00:47:46 | Campeão: Jogador 2 | 00:38
20/06/2026 00:11:49 | Campeão: Jogador 1 | 01:36
19/06/2026 23:48:04 | Campeão: Jogador 1 | 00:28
19/06/2026 21:03:56 | Campeão: Jogador 2 | 00:23
19/06/2026 21:03:29 | Campeão: Jogador 2 | 00:18
19/06/2026 20:15:40 | Campeão: Jogador 2 | 00:26
19/06/2026 20:15:05 | Campeão: Jogador 2 | 00:32
19/06/2026 18:58:34 | Campeão: Jogador 1 | 00:31
18/06/2026 20:10:37 | Campeão: Jogador 2 | 01:53
18/06/2026 20:07:33 | Campeão: Jogador 2 | 00:59
18/06/2026 20:05:34 | Campeão: Jogador 2 | 00:55
18/06/2026 20:04:28 | Campeão: Jogador 1 | 00:57
18/06/2026 20:02:53 | Campeão: Jogador 1 | 01:11
18/06/2026 19:58:06 | Campeão: Jogador 2 | 01:04
18/06/2026 19:55:13 | Campeão: Jogador 2 | 00:52
18/06/2026 19:54:15 | Campeão: Jogador 1 | 00:52
18/06/2026 19:41:03 | Campeão: Jogador 2 | 00:47
18/06/2026 19:37:04 | Campeão: Jogador 1 | 01:06
18/06/2026 15:21:43 | Campeão: Jogador 2 | 00:41
18/06/2026 14:48:22 | Campeão: Jogador 2 | 01:18
18/06/2026 13:48:09 | Campeão: Jogador 1 | 00:21
18/06/2026 13:41:04 | Campeão: Jogador 1 | 00:21
18/06/2026 13:40:26 | Campeão: Empate | 00:09
18/06/2026 13:37:14 | Campeão: Jogador 1 | 00:08
18/06/2026 13:35:10 | Campeão: Jogador 1 | 00:12
18/06/2026 13:34:42 | Campeão: Jogador 1 | 00:14
18/06/2026 13:29:57 | Campeão: Empate | 00:18
18/06/2026 11:01:03 | Campeão: Jogador 1 | 00:42
18/06/2026 10:31:48 | Campeão: Empate | 00:03
18/06/2026 10:26:51 | Campeão: Empate | 00:31
14/06/2026 22:13:09 | Campeão: Jogador 1 | 00:31
14/06/2026 22:09:41 | Campeão: Jogador 1 | 00:31
14/06/2026 21:31:51 | Campeão: Jogador 1 | 00:16
14/06/2026 21:31:13 | Campeão: Jogador 1 | 00:19
14/06/2026 21:20:57 | Campeão: Empate | 01:05
14/06/2026 21:18:00 | Campeão: Empate | 00:33
14/06/2026 20:51:55 | Campeão: Empate | 00:20
14/06/2026 20:19:05 | Campeão: Jogador 2 | 00:23
14/06/2026 19:25:26 | Campeão: Empate | 00:21
14/06/2026 19:24:58 | Campeão: Jogador 1 | 00:21
14/06/2026 19:24:29 | Campeão: Jogador 2 | 00:17
14/06/2026 19:19:10 | Campeão: Empate | 00:11
14/06/2026 19:11:41 | Campeão: Jogador 2 | 00:19
14/06/2026 19:10:15 | Campeão: Jogador 2 | 00:19
14/06/2026 19:09:36 | Campeão: Jogador 2 | 00:20
14/06/2026 19:09:14 | Campeão: Jogador 2 | 00:22
14/06/2026 19:07:15 | Campeão: Jogador 2 | 00:18
14/06/2026 19:06:52 | Campeão: Jogador 2 | 00:26
14/06/2026 19:06:22 | Campeão: Jogador 2 | 00:45
14/06/2026 19:05:24 | Campeão: Jogador 2 | 00:55
14/06/2026 18:05:59 | Campeão: Jogador 2 | 00:27
14/06/2026 17:12:38 | Campeão: Jogador 1 | 00:33
14/06/2026 15:37:55 | Campeão: Jogador 2 | 01:06
14/06/2026 15:32:57 | Campeão: Jogador 2 | 00:06
14/06/2026 12:19:18 | Campeão: Jogador 2 | 00:25
14/06/2026 12:25:53 | Campeão: Jogador 1 | 00:01
14/06/2026 13:02:51 | Campeão: Jogador 2 | 00:23
14/06/2026 12:25:53 | Campeão: Jogador 1 | 00:01
14/06/2026 13:02:51 | Campeão: Jogador 2 | 00:23

